Sample,Easting,Northing,Altitude,Thickness,MassArea,"[-8,-7)","[-7,-6)","[-6,-5)","[-5,-4)","[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)","[4,5)","[5,6)","[6,7)","[7,8)","[8,9)","[9,10)","[10,11)",total,Md(phi),Sorting,SkG
PL52,767224,10001783,2159,20,200,0,4.4633,15.4514,8.7651,10.6064,13.604,16.4737,16.1328,10.2735,3.0053,0.4266,0.2049,0.1709,0.2744,0.1037,0.0344,0.0079,0.0017,0.0001,100,-2.21,2.58,-0.18
PL53,757663,10007065,1616,14,140,0,0,0,0,6.6545,11.0528,16.9433,24.3868,24.3547,13.3912,1.7814,0.5248,0.4688,0.3311,0.0838,0.0218,0.0042,0.0006,0,100,-0.37,1.6,-0.12
PL54,754606,10004680,1835,5,50,0,0,0,1.1769,3.1731,10.004,17.8113,24.776,27.2904,13.3911,1.1769,0.4681,0.3696,0.2821,0.0676,0.0111,0.0016,0.0002,0,100,-0.28,1.45,-0.12
PL55,750889,9999491,1755,1,10,0,0,0,0,0,0,0.1632,0.7073,5.8215,33.2971,39.3362,8.1066,3.5178,6.3289,2.2071,0.4611,0.0445,0.0062,0.0022,99.9997,2.25,1.15,0.15
PL56,781426,9992113,2583,12,120,0,0,8.7949,10.6542,11.6349,11.9477,13.0095,13.5069,14.3067,10.2127,3.8661,0.7908,0.5278,0.4975,0.1675,0.0661,0.0141,0.0025,0.0002,100,-1.46,2.67,-0.07
PL57,773653,10000737,2625,30,300,0,0,2.9079,7.9271,13.5307,15.134,15.7329,14.8258,15.5904,10.2367,3.0046,0.4683,0.2585,0.2639,0.0831,0.0286,0.0063,0.0012,0.0001,100,-1.33,2.26,-0.01
PL58,779421,9996168,2932,25,250,0,0,11.6764,17.3968,15.5826,11.9652,10.9808,9.917,11.0693,7.7518,2.6207,0.381,0.2543,0.2728,0.0858,0.0342,0.0092,0.0021,0.0002,100,-2.55,2.67,0.18
PL59,774928,9988493,3215,6,60,0,0,0,4.9215,10.0044,11.7647,12.8225,15.261,20.3117,16.0725,5.6442,0.9528,0.7969,0.9706,0.3339,0.1098,0.0273,0.0058,0.0004,99.9999,-0.31,2.23,-0.16
PL60,774512,9988530,3253,9,90,0,0,2.2601,2.6902,8.5431,12.3624,15.1464,17.1003,20.0612,14.8862,4.9591,0.6159,0.4551,0.5916,0.2228,0.0847,0.0175,0.0032,0.0003,100,-0.47,2.09,-0.11
PL61,770945,9990075,3094,10.5,105,0,0,0,6.7376,7.4823,12.5248,15.6796,16.9504,19.4216,14.6866,4.9814,0.6354,0.3513,0.3838,0.1248,0.0333,0.0058,0.001,0.0001,100,-0.55,2.11,-0.09
PL62,770870,9995025,2697,15,150,0,0,4.1371,5.3942,12.519,12.0455,14.296,18.6619,13.5957,13.1971,4.1097,0.7814,0.5789,0.492,0.1407,0.0417,0.0077,0.0012,0.0001,100,-0.91,2.37,-0.08
PL63,772110,9996702,2604,17,170,0,4.9271,6.7467,9.4238,11.2589,12.6871,12.5003,12.8113,13.6661,10.3777,3.7572,0.6639,0.4344,0.4974,0.1691,0.0618,0.0144,0.0027,0.0002,100,-1.6,2.77,-0.06
PL64,770131,9991817,2898,12,120,0,0,5.0368,4.2553,10.2398,13.7587,15.0964,15.1668,17.6239,12.3928,4.2821,0.7266,0.4053,0.6805,0.2441,0.0728,0.0148,0.003,0.0002,99.9999,-0.89,2.29,-0.07
PL65,774334,9990077,3206,11,110,0,0,2.8318,6.6034,8.083,12.9993,14.7922,16.1918,18.5394,13.0847,4.287,0.7039,0.5685,0.8497,0.3268,0.11,0.0236,0.0048,0.0004,100,-0.71,2.25,-0.1
PL66,776259,9991046,2994,12,120,0,0,6.9832,5.6763,9.6246,12.0919,14.2062,15.0147,17.2685,12.6154,3.9591,0.7513,0.5736,0.8154,0.2849,0.1055,0.0243,0.0048,0.0004,100,-0.91,2.45,-0.12
PL67,776993,9993939,3196,19,190,0,0,5.7971,13.7526,15.8839,14.0772,11.9289,11.698,12.6364,9.1831,3.3623,0.6016,0.3903,0.4471,0.1644,0.0585,0.015,0.0034,0.0002,100,-1.96,2.56,0.1
PL69,787108,10013759,2019,13,130,0,0,0,3.6145,2.8609,6.697,10.5312,16.698,24.0971,23.459,8.8118,0.9418,0.7992,0.8754,0.3678,0.1853,0.0498,0.0109,0.0003,100,0.4,1.78,-0.2
PL70,788823,10015298,1835,13,130,0,0,1.9527,0.8677,1.4252,3.4165,9.2618,16.4165,26.5289,26.3316,11.2159,1.0821,0.5116,0.5536,0.2542,0.1347,0.037,0.0092,0.0006,100,0.63,1.51,-0.15
PL71,785657,10015323,1963,11,110,0,0,0,5.0101,6.4384,11.4724,15.4444,17.248,19.3763,18.2846,5.1948,0.6196,0.3321,0.3722,0.1351,0.0542,0.0142,0.0032,0.0003,100,-0.33,2.05,-0.11
PL75,793245,10015135,2326,6.5,65,0,0,0,0,0.14,1.83,3.71,9.49,24.73,37.8,17.92,2.41,0.81,0.83,0.26,0.06,0.01,0,0.0001,100,1.27,1.16,-0.06
