Sample no.,Site,Layer,Easting,Northing,Mass,Thickness,Density,MassArea,"[-5,-4)","[-4,-3)","[-3,-2)","[-2,-1)","[-1,0)","[0,1)","[1,2)","[2,3)","[3,4)"
1-30-45 M,45,M,523983,1378749,1406,0.22,1118.54,246.08,0,0,0.001455604,0.051237264,0.3286754,0.457933042,0.135371179,0.009315866,0.016011645
1-30-46 M,46,M,523174,1379228,1368,0.23,1088.31,250.31,0,0,0.003449267,0.055188272,0.344064387,0.477436045,0.102328256,0.011784996,0.005748778
1-30-47 M,47,M,522536,1378550,1538,0.3,1223.55,367.06,0,0,0.001183432,0.012426036,0.071005917,0.331065088,0.289644971,0.202662722,0.092011834
1-30-48 M,48,M,521505,1378499,1568,0.22,1247.41,274.43,0,0,0.003684211,0.017894736,0.140263157,0.392105263,0.292894736,0.086315789,0.066842105
1-30-49 M,49,M,521747,1377510,1499,0.21,1192.52,250.43,0,0,0,0.012590495,0.118035883,0.547056972,0.27541706,0.039345294,0.007554297
1-30-50 M,50,M,522806,1377761,1539,0.12,1224.34,146.92,0,0,0.00229819,0.018960069,0.121804079,0.399023269,0.32289572,0.072392991,0.062625682
1-30-51 M,51,M,523894,1377922,1575,0.19,1252.98,238.07,0.013654618,0.001874163,0.002409639,0.017938421,0.104417671,0.375100402,0.326639893,0.071485944,0.08647925
1-30-52 M,52,M,524826,1378577,1555,0.23,1237.07,284.53,0,0,0.002082713,0.016066647,0.11365665,0.363582267,0.282653972,0.133888723,0.088069027
1-30-53 M,53,M,525759,1378887,1490,0.19,1185.36,225.22,0,0.003760486,0.01099219,0.07520972,0.312698872,0.451836853,0.111368238,0.012149262,0.02198438
1-30-54 M,54,M,526664,1378620,1590,0.26,1264.92,328.88,0,0,0.004139562,0.038734477,0.238911887,0.339444116,0.138379657,0.076877587,0.163512714
1-30-55 M,55,M,527927,1379208,1300,0.42,1034.21,434.37,0,0,0.017899061,0.166960093,0.407276995,0.310739437,0.06044601,0.011150235,0.025528169
1-30-56 M,56,M,528574,1379238,1595,0.17,1268.89,215.71,0,0.00295302,0.034899329,0.091275167,0.153557047,0.236510067,0.232214765,0.100134228,0.148456376
1-31-57 M,57,M,530429,1379430,1597,0.27,1270.49,343.03,0,0,0.003597123,0.029976019,0.157374101,0.416366906,0.244604317,0.074640288,0.073441247
1-31-59 M,59,M,531058,1380228,1537,0.08,1222.75,97.82,0,0.003183868,0.013796764,0.104537012,0.349429556,0.349960201,0.109578137,0.032634652,0.036879809
1-31-60A Top,60,A,530597,1380732,1372,0.13,1091.49,141.89,0.096265124,0.197790637,0.326144135,0.262756444,0.087848501,0.021830616,0.006049448,0.001052077,0.000263019
1-31-60B,60,B,530597,1380732,1452,0.22,1155.13,254.13,0,0,0.028612303,0.128183118,0.332188841,0.404577968,0.096995708,0.00572246,0.003719599
