Sample no.,Site,Layer,Easting,Northing,Mass,Thickness,Density,MassArea,"[-4.5,-4)","[-4,-3.5)","[-3.5,-3)","[-3,-2.5)","[-2.5,-2)","[-2,-1.5)","[-1.5,-1)","[-1,-0.5)","[-0.5,0)","[0,0.5)","[0.5,1)","[1,1.5)","[1.5,2)","[2,2.5)","[2.5,3)","[3,3.5)"
1-31-65 M,65,M,530518,1380992,1471,0.53,1170.25,620.23,0.061812467,0.021215296,0.069669984,0.119696176,0.162650602,0.20455736,0.178889471,0.106862232,0.045049764,0.017810372,0.006286014,0.003143007,0.001309586,0.000785752,0.000261917,0
2-2-66 M,66,M,521537,1376665,1873,0.06,1490.06,89.4,0,0,0,0,0.00156789,0.000940734,0.003135779,0.009720916,0.020696143,0.047977422,0.086233929,0.158984008,0.196926936,0.145813735,0.104735027,0.223267482
2-2-67 M,67,M,522559,1376999,1565,0.01,1245.03,12.45,0,0,0,0,0.000830105,0.003043719,0.007470946,0.014388489,0.030990592,0.089374654,0.139734366,0.21610404,0.208909795,0.105976757,0.055617045,0.127559491
2-2-68 M,68,M,523856,1377173,1599,0.03,1272.08,38.16,0,0,0,0,0.000282566,0.002260526,0.005651314,0.013280588,0.02825657,0.078553264,0.114439107,0.168409155,0.17660356,0.109918056,0.068380899,0.233964397
2-2-69 M,69,M,524591,1377489,1929,0.07,1534.61,107.42,0,0,0,0,0.000261917,0.002357255,0.003143007,0.008381351,0.023048717,0.074908329,0.143792562,0.187794657,0.184127816,0.125720272,0.083027763,0.163436354
2-2-70 M,70,M,525564,1377877,1794,0.23,1427.21,328.26,0,0,0,0,0.000271444,0.002171553,0.005700326,0.020086862,0.053474484,0.119163952,0.134364821,0.17019544,0.141150923,0.080076004,0.05320304,0.220141151
2-2-71 M,71,M,526899,1379123,1442,0.28,1147.18,321.21,0,0,0.001592357,0.000318471,0.008280255,0.026751592,0.066878981,0.155732484,0.225159236,0.279936306,0.155732484,0.054458599,0.01433121,0.003503185,0.002229299,0.005095541
2-2-72A,72,A,524505,1380950,1201,0.18,955.45,171.98,0,0,0.006906475,0.021582734,0.05352518,0.140143885,0.214100719,0.263309353,0.172086331,0.078561151,0.02618705,0.012086331,0.005467626,0.002589928,0.002014388,0.001438849
2-2-72B,72,B,524505,1380950,1682,0.08,1338.11,107.05,0,0,0,0.00087668,0.002337814,0.010520164,0.031852718,0.07597896,0.127118644,0.178842782,0.163939217,0.132963179,0.078024547,0.03798948,0.027469316,0.132086499
2-2-73 M,73,M,522646,1380659,1577,0.23,1254.57,288.55,0,0,0,0.000956023,0.004142766,0.019757808,0.057361377,0.150095602,0.229445507,0.219247929,0.130975143,0.057042702,0.039834289,0.018801785,0.010197578,0.062141491
2-2-74A,74,A,526416,1382894,1479,0.1,1176.61,117.66,0,0,0,0.007401082,0.017079419,0.049245659,0.106461714,0.187588955,0.196413322,0.145744378,0.088528323,0.046683746,0.065755764,0.048676345,0.007401082,0.033020211
2-2-74B,74,B,526416,1382894,1695,0.25,1348.45,337.11,0,0,0.001119194,0,0.003357583,0.011191942,0.026021265,0.06351427,0.12506995,0.208449916,0.188584219,0.108841634,0.050923335,0.039171796,0.035814214,0.137940683
2-2-75 M,75,M,527536,1383362,1812,0.39,1441.53,562.2,0,0,0.003584229,0.010155317,0.033154122,0.055854241,0.087514934,0.119175627,0.119474313,0.133512545,0.099462366,0.072879331,0.04958184,0.040621266,0.037037037,0.137992832
2-2-76 M,76,M,527796,1382127,1439,0.73,1144.79,835.7,0.011627907,0.004983389,0.012181617,0.024640089,0.052325581,0.111295681,0.143964563,0.21345515,0.204042082,0.140642303,0.061184939,0.014950166,0.003599114,0.00110742,0,0
2-2-77 M,77,M,527021,1381806,1417,0.48,1127.29,541.1,0,0.012269939,0.047127719,0.056609035,0.078918015,0.124930284,0.14305633,0.147518126,0.122699387,0.105409927,0.060234244,0.031790296,0.016452872,0.009481316,0.007529281,0.035973229
2-2-77 Fine,77,F,527021,1381806,1437,0,1143.2,0,0,0,0.000633112,0.004748338,0.019626464,0.041785375,0.091801203,0.16334283,0.19784742,0.19784742,0.107628997,0.048749604,0.022475467,0.016460905,0.016460905,0.070591959
2-2-78 M,78,M,528675,1382740,1550,0.34,1233.09,419.25,0,0.006116208,0.01000834,0.028912983,0.070336391,0.146788991,0.19794273,0.210175146,0.145954962,0.089241034,0.034195163,0.025020851,0.011676397,0.011676397,0.00500417,0.006950236
2-2-79 M,79,M,528763,1384430,1629,0.09,1295.94,116.63,0,0,0.005950771,0.015958886,0.030024344,0.070868272,0.13064647,0.216662159,0.226399784,0.147957804,0.043007844,0.0129835,0.007303219,0.007032729,0.008114688,0.077089532
2-2-80 M,80,M,526617,1379772,1494,0.54,1188.54,641.81,0,0,0,0.006255099,0.01958118,0.041881969,0.086483546,0.167255915,0.197171607,0.248844166,0.151754147,0.059831384,0.014413924,0.002719608,0.001359804,0.002447648
